,tick0,tick1,tick2,tick4
GO:0001772,0,0,0,1
GO:0001773,0,0,2,0
GO:0001774,1,0,0,0
GO:0001775,14,27,12,12
GO:0001776,1,0,0,0
GO:0001784,0,1,2,0
GO:0001786,2,7,1,2
GO:0001816,1,1,2,1
GO:0001817,12,7,4,7
GO:0001818,7,3,2,0
GO:0001819,3,4,1,5
GO:0001821,0,1,0,1
GO:0001822,6,5,5,4
GO:0001823,3,1,2,1
GO:0001824,3,4,4,4
GO:0001825,0,3,0,2
GO:0001826,0,1,0,1
GO:0001828,0,1,0,1
GO:0001829,0,2,0,1
GO:0001831,0,1,0,0
GO:0001832,1,0,0,1
GO:0001833,1,0,0,1
GO:0001835,2,0,2,1
GO:0001836,1,0,0,0
GO:0001837,1,1,0,2
GO:0001838,4,5,2,3
GO:0001839,1,0,0,0
GO:0001840,1,0,0,0
GO:0001841,3,3,2,2
GO:0001843,2,3,2,2
GO:0001845,1,2,2,0
GO:0001871,0,0,0,1
GO:0001875,1,6,1,2
GO:0001881,2,0,0,0
GO:0001882,76,82,58,38
GO:0001883,75,82,56,38
GO:0001885,1,4,1,4
GO:0001886,0,0,0,2
GO:0001887,4,2,1,1
GO:0001889,6,8,14,4
GO:0001890,1,3,4,3
GO:0001891,0,1,0,0
GO:0001892,1,1,1,1
GO:0001893,0,1,2,0
GO:0001894,10,13,5,6
GO:0001895,4,3,0,2
GO:0001910,0,0,2,0
GO:0001912,0,0,2,0
GO:0001914,0,0,2,0
GO:0001916,0,0,2,0
GO:0001917,0,0,1,0
GO:0001919,2,1,4,0
GO:0001932,47,70,38,39
GO:0001933,10,20,12,14
GO:0001934,24,37,23,12
GO:0001935,1,6,1,3
GO:0001936,0,1,1,0
GO:0001937,0,1,0,0
GO:0001938,0,0,1,0
GO:0001941,2,2,0,3
GO:0001944,12,14,15,9
GO:0001947,2,4,0,4
GO:0001948,0,2,1,1
GO:0001952,2,2,2,3
GO:0001953,0,0,1,0
GO:0001954,1,1,0,2
GO:0001955,0,1,1,0
GO:0001956,0,1,0,0
GO:0001958,1,0,1,1
GO:0001959,1,0,1,0
GO:0001960,1,0,0,0
GO:0001963,0,0,1,0
GO:0001964,3,3,4,1
GO:0001965,0,0,0,1
GO:0001966,0,0,0,1
GO:0001967,1,1,0,0
GO:0001973,0,0,0,1
GO:0001974,7,0,6,8
GO:0001975,0,1,0,2
GO:0001976,0,1,0,0
GO:0001990,4,2,3,3
GO:0001991,4,1,3,3
GO:0001993,0,1,0,0
GO:0001996,0,1,0,0
GO:0002002,4,1,3,3
GO:0002003,3,1,2,1
GO:0002005,1,0,1,2
GO:0002009,95,141,61,83
GO:0002011,2,5,3,3
GO:0002016,4,2,3,3
GO:0002018,3,1,2,1
GO:0002019,1,0,1,2
